ID:1 Coord[0.676887,0.676887,0.676887]
ID:1 Coord[0.238818,0.238818,0.238818]
ID:1 Coord[-0.186451,-0.186451,-0.186451]
ID:1 Coord[0.675005,0.675005,0.675005]
ID:1 Coord[0.674794,0.674794,0.674794]
ID:1 Coord[0.674872,0.674872,0.674872]
ID:1 Coord[0.674839,0.674839,0.674839]
ID:1 Coord[0.674852,0.674852,0.674852]
ID:1 Coord[0.674996,0.674996,0.674996]
ID:1 Coord[0.674996,0.674996,0.674996]
ID:1 Coord[0.674997,0.674997,0.674997]
ID:1 Coord[0.674998,0.674998,0.674998]
ID:1 Coord[0.674998,0.674998,0.674998]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.674998,0.674998,0.674998]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.674998,0.674998,0.674998]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675000,0.675000,0.675000]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.675001,0.675001,0.675001]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.674999,0.674999,0.674999]
ID:1 Coord[0.675002,0.675002,0.675002]
ID:1 Coord[0.675911,0.675911,0.675911]
ID:1 Coord[0.676821,0.676821,0.676821]
ID:1 Coord[0.676596,0.676596,0.676596]
ID:1 Coord[0.676387,0.676387,0.676387]
ID:1 Coord[0.676599,0.676599,0.676599]
ID:1 Coord[0.676742,0.676742,0.676742]
ID:1 Coord[0.676960,0.676960,0.676960]
ID:1 Coord[0.677174,0.677174,0.677174]
ID:1 Coord[0.677376,0.677376,0.677376]
ID:1 Coord[0.677555,0.677555,0.677555]
ID:1 Coord[0.677699,0.677699,0.677699]
ID:1 Coord[0.677833,0.677833,0.677833]
ID:1 Coord[0.677934,0.677934,0.677934]
ID:1 Coord[0.678009,0.678009,0.678009]
ID:1 Coord[0.678069,0.678069,0.678069]
ID:1 Coord[0.678112,0.678112,0.678112]
ID:1 Coord[0.678148,0.678148,0.678148]
ID:1 Coord[0.678178,0.678178,0.678178]
ID:1 Coord[0.678202,0.678202,0.678202]
ID:1 Coord[0.678221,0.678221,0.678221]
ID:1 Coord[0.678237,0.678237,0.678237]
ID:1 Coord[0.678249,0.678249,0.678249]
ID:1 Coord[0.678259,0.678259,0.678259]
ID:1 Coord[0.678268,0.678268,0.678268]
ID:1 Coord[0.678275,0.678275,0.678275]
ID:1 Coord[0.678280,0.678280,0.678280]
ID:1 Coord[0.678284,0.678284,0.678284]
ID:1 Coord[0.678287,0.678287,0.678287]
ID:1 Coord[0.678289,0.678289,0.678289]
ID:1 Coord[0.678291,0.678291,0.678291]
ID:1 Coord[0.678293,0.678293,0.678293]
ID:1 Coord[0.678295,0.678295,0.678295]
ID:1 Coord[0.678296,0.678296,0.678296]
ID:1 Coord[0.678297,0.678297,0.678297]
ID:1 Coord[0.678298,0.678298,0.678298]
ID:1 Coord[0.678298,0.678298,0.678298]
ID:1 Coord[0.678299,0.678299,0.678299]
ID:1 Coord[0.678299,0.678299,0.678299]
ID:1 Coord[0.678299,0.678299,0.678299]
ID:1 Coord[0.678299,0.678299,0.678299]
ID:1 Coord[0.678299,0.678299,0.678299]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678301,0.678301,0.678301]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678300,0.678300,0.678300]
ID:1 Coord[0.678302,0.678302,0.678302]
ID:1 Coord[0.678302,0.678302,0.678302]
