ID:3 Coord[2.327935,2.327935,2.327935]
ID:3 Coord[2.327965,2.327965,2.327965]
ID:3 Coord[2.327989,2.327989,2.327989]
ID:3 Coord[2.328007,2.328007,2.328007]
ID:3 Coord[2.328022,2.328022,2.328022]
ID:3 Coord[2.328035,2.328035,2.328035]
ID:3 Coord[2.328044,2.328044,2.328044]
ID:3 Coord[2.328053,2.328053,2.328053]
ID:3 Coord[2.328059,2.328059,2.328059]
ID:3 Coord[2.328064,2.328064,2.328064]
ID:3 Coord[2.328068,2.328068,2.328068]
ID:3 Coord[2.328071,2.328071,2.328071]
ID:3 Coord[2.328074,2.328074,2.328074]
ID:3 Coord[2.328076,2.328076,2.328076]
ID:3 Coord[2.328078,2.328078,2.328078]
ID:3 Coord[2.328079,2.328079,2.328079]
ID:3 Coord[2.328080,2.328080,2.328080]
ID:3 Coord[2.328081,2.328081,2.328081]
ID:3 Coord[2.328082,2.328082,2.328082]
ID:3 Coord[2.328082,2.328082,2.328082]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
ID:3 Coord[2.328085,2.328085,2.328085]
